id,name,mentions,source_books
E15962,主机活塞环,1,
E15983,第一缸有两道活塞环,1,
E16027,增压器轴承,1,
E16101,运行中对增压器,1,
E16258,因油泵管路,1,
E16568,号增压器,1,
E16592,柴油机缸套,1,
E16631,活塞环缸套,1,
E16864,连杆轴承,1,
E16903,见主机,1,
E16904,缸连杆轴承,1,
E16905,凸轮轴轴承,1,
E16925,按要求拆检主轴承,1,
E16984,油滤器,1,
E16987,缸连杆大端轴承,1,
E16988,缸发现活塞,1,
E16991,船上无连杆轴承,1,
E16999,缸活塞环,1,
E17008,轮低速主机主轴承,1,
E17040,轮主机曲轴,1,
E17050,主机更新曲轴,1,
E17076,不可能发生轴承,1,
E17117,轮副机三次曲轴,1,
E17122,副机第二次曲轴,1,
E17146,这为日后曲轴,1,
E17152,缸连杆,1,
E17251,低温淡水冷却器,1,
E17254,保证低温淡水冷却器,1,
E17513,多媒体技术等使柴油机,1,
E17817,进行活塞环,1,
E17831,系统中活塞环,1,
E17841,缸在活塞环,1,
E17930,以实现柴油机,1,
E17969,空气滤清器,1,
E18087,还受到另一气缸,1,
E18103,研究开发出船用柴油机,1,
E18168,轮主机增压器,1,
E18399,其可能原因是活塞环,1,
E18460,管接头,1,
E18473,冷却水管,1,
E18484,上构成废气涡轮增压器,1,
E18684,安全阀,1,
E18997,液压泵,1,
E18998,液压缸,1,
E19049,其原因是漏气缸,1,
E19231,系统对柴油机,1,
E19366,我们称这个继电器,1,
E19372,显然这不是继电器,1,
E19374,我们则称这个继电器,1,
E19560,设电动机,1,
E20180,冷却器,1,
E20405,吸油管,1,
E20477,从一次主机增压器,1,
E20669,换向阀,1,
E20768,要改变活塞环,1,
E20854,吸气管,1,
E20869,透平端轴承,1,
E20909,但从这次主机活塞环,1,
E21077,扫气单向阀,1,
E21529,齿轮液压马达,1,
E21581,方向控制阀,1,
E21582,压力控制阀,1,
E21586,流量控制阀,1,
E21779,溢流阀,1,
E21816,从而使右侧液压缸,1,
E22023,过滤器,1,
E22320,液压控制阀,1,
E22465,以上按电动机,1,
E22466,以上动作状况用手按动开关,1,
E22500,截止阀,1,
E22505,油冷却器,1,
E22511,油轴承,1,
E22743,按要求重配活塞,1,
E22754,新配活塞,1,
E22755,校直活塞,1,
E22838,液控单向阀,1,
E22860,先导电磁阀,1,
E22882,大通径电磁换向阀,1,
E22883,液动换向阀,1,
E23265,安全溢流阀,1,
E23267,各种截止阀,1,
E23275,主液压泵,1,
E23279,主油路中某侧安全溢流阀,1,
E23687,组合阀中电磁阀,1,
E23690,吸入滤器,1,
E23701,变幅液压泵,1,
E23712,控制液压缸,1,
E23714,已开启安全阀,1,
E23725,动转不平稳液压马达,1,
E23734,油位控制器,1,
E23735,油温控制器,1,
E23737,超负荷继电器,1,
E23738,启动器继电器,1,
E23741,停机按钮,1,
E23742,断开主开关,1,
E23892,联锁开关,1,
