id,label,name,mentions,source_books
E00001,Book,船舶电气设备维修指南,1,船舶电气设备维修指南
E01132,Book,"内河船舶电气设备的原理与维护(马南琦等编著,马南琦等编著,马南琦",1,"内河船舶电气设备的原理与维护 (马南琦等编著, 马南琦等编著, 马南琦)"
E01895,Book,"现代船舶柴油机故障分析(黄少竹主编,黄少竹主编,黄少竹",1,"现代船舶柴油机故障分析 (黄少竹主编, 黄少竹主编, 黄少竹)"
E02324,Book,"舰船动力装置故障诊断与可靠性(张维竞编,張維競(船舶工程",1,"舰船动力装置故障诊断与可靠性 (张维竞编, 張維競 (船舶工程))"
E02739,Book,船舶内燃机故障急修手册(麦庆祥著,1,船舶内燃机故障急修手册 (麦庆祥著)
E02938,Book,船舶柴油机故障实例(张庆信编,1,船舶柴油机故障实例 (张庆信编)
E03014,Book,"船舶液压机械维护与故障分析(郑士君,宋新新编著",1,"船舶液压机械维护与故障分析 (郑士君,宋新新编著)"
E03543,Book,船舶液压系统故障诊断与维修技术(郑士君编著,1,船舶液压系统故障诊断与维修技术 (郑士君编著)
E04004,Book,"船舶电气设备及系统(大连海事大学出版社,2011)(郑华耀",1,"船舶电气设备及系统(大连海事大学出版社,2011) (郑华耀)"
E04918,Book,"船舶电气设备调试与维护(杜杨主编,杜杨主编,杜杨",1,"船舶电气设备调试与维护 (杜杨主编, 杜杨主编, 杜杨)"
E05739,Device,电气控制线路,1,
E05783,Device,发电机,1,
E05784,Device,主开关,1,
E05794,Device,电动机,1,
E05868,Device,复励变压器,1,
E05883,Device,电源变压器,1,
E05974,Device,传感器,1,
E05980,Device,变压器,1,
E05981,Device,脉冲变压器,1,
E06058,Device,转换开关,1,
E06209,Device,定子绕组,1,
E06306,Device,调速器,1,
E06519,Device,继电器,1,
E06520,Device,自动开关,1,
E06529,Device,行程开关,1,
E06534,Device,熔断器,1,
E06535,Device,刀开关,1,
E06553,Device,组合开关,1,
E06557,Device,接触器,1,
E06615,Device,热继电器,1,
E06616,Device,压力继电器,1,
E06619,Device,电压继电器,1,
E06622,Device,温度继电器,1,
E06637,Device,时间继电器,1,
E06638,Device,中间继电器,1,
